iso,angry_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
EGY,0.028510457673781693,0.14073584360392907,0.006145455860510433,0.5350376428284037,0.10402138772098204,0.1395613978831814,0.04598783785499668,0.0,15.384615384615385,0.0,69.23076923076923,0.0,7.6923076923076925,7.6923076923076925
ERI,0.021627706999424845,0.03300076839514077,0.0019267146417405456,0.3711055356543511,0.5216414900496602,0.03426006541121751,0.016437694313935935,0.0,0.0,0.0,25.0,75.0,0.0,0.0
ESP,0.09856774284404916,0.06974961689229531,0.024069393726070604,0.3449289127747761,0.2663785607389097,0.11668236455625447,0.07962339193242467,8.333333333333332,0.0,0.0,37.5,33.33333333333333,12.5,8.333333333333332
ETH,0.009501282340632035,0.03075907529833225,0.0202260415647358,0.5743020770426553,0.2289167370942708,0.0318678277712584,0.10442689971890874,0.0,0.0,0.0,61.53846153846154,23.076923076923077,0.0,15.384615384615385
FIN,0.057611238211393356,0.04252418875694275,0.02493152767419815,0.003172083292156458,0.6914044618606567,0.07828252762556076,0.10207393765449524,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FJI,0.20116602351966625,0.13543789697966227,0.016906556944983702,0.4406496367106835,0.056700527241143085,0.1178719421538214,0.03126735864983251,16.666666666666664,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.0
FRA,0.11550504963617475,0.05707733958010514,0.031805740615052924,0.1945476982666909,0.3314719360564863,0.05118836781527053,0.21840387048700297,11.76470588235294,3.2085561497326207,1.06951871657754,19.786096256684495,37.4331550802139,3.2085561497326207,23.52941176470588
FSM,0.4059329330921173,0.2267674207687378,0.0072511956095695496,0.012601597234606743,0.027776652947068214,0.3141080439090729,0.005562140140682459,100.0,0.0,0.0,0.0,0.0,0.0,0.0
GAB,0.14485053368844092,0.10968426871113479,0.007833823779947124,0.17842533459770493,0.24016074324026704,0.19499639107380062,0.12404888836317696,12.5,0.0,0.0,25.0,25.0,12.5,25.0
GBR,0.1441021602251567,0.14717069225672103,0.018161598250515307,0.2514588088967611,0.22212897268252926,0.08703997465632415,0.12993779651131607,12.432432432432433,14.594594594594595,0.0,25.405405405405407,25.945945945945947,7.567567567567568,14.054054054054054
GEO,0.1368030495941639,0.10562671907246113,0.018786837783409283,0.008634204103145748,0.5270004703197628,0.1686620358377695,0.034486672695493326,25.0,0.0,0.0,0.0,50.0,25.0,0.0
GHA,0.027260474931002438,0.02972972983843647,0.002331050486342671,0.2493158377474174,0.6266521593788639,0.029692408551151555,0.03501836070790887,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0
GIN,0.012008794583380222,0.03408839646726847,0.006565566640347242,0.12695498438552022,0.626524418592453,0.13412126898765564,0.05973659362643957,0.0,0.0,0.0,0.0,100.0,0.0,0.0
GMB,0.02353214586619288,0.09343248694203794,0.00435136329033412,0.5715600428171456,0.120791144418763,0.15136609936016612,0.0349667000817135,0.0,20.0,0.0,60.0,0.0,20.0,0.0
GNB,0.018276052161430318,0.03447979620735472,0.0012467113556340337,0.3658443056046963,0.5466924172748501,0.02776868041837588,0.00569205804883192,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0
GNQ,0.21586425635032355,0.08476771228015423,0.005266027830657549,0.006168898683972657,0.19703509663231672,0.4869591506198049,0.0039388683973811565,20.0,0.0,0.0,0.0,20.0,60.0,0.0
GRC,0.09347611906741804,0.1821190815026057,0.005401902497396804,0.3641421027496108,0.23916836453281576,0.026766233011585427,0.08892622251369176,12.5,18.75,0.0,43.75,18.75,0.0,6.25
GTM,0.028501855209469795,0.022255056770518422,0.03878597539733164,0.439263736421708,0.16336353868246078,0.2938612373545766,0.013968648738227785,0.0,0.0,0.0,50.0,0.0,50.0,0.0
HND,0.0409599292712907,0.10233340047610302,0.035045173640052475,0.518432904034853,0.001735879632178694,0.005602147740622361,0.2958906168739001,0.0,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333
HRV,0.08097457140684128,0.06843408523127437,0.012718839105218649,0.02625942075974308,0.23435505852103233,0.20223167864605784,0.37502635188866407,0.0,0.0,0.0,0.0,25.0,25.0,50.0
HTI,0.16214893199503422,0.1380250179208815,0.026951863896101713,0.2244239961146377,0.20037257205694914,0.11864808636407058,0.1294295572054883,0.0,33.33333333333333,0.0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
HUN,0.3541592368468021,0.17971198912709951,0.04149288773381462,0.0229625131226688,0.19717004732228816,0.15096577047370374,0.05353754853422288,54.166666666666664,25.0,0.0,0.0,16.666666666666664,4.166666666666666,0.0
IDN,0.036110846477846105,0.07606474642976067,0.009083027315359832,0.489464629828299,0.21375905304035592,0.08374638163255557,0.09177132288459688,3.225806451612903,6.451612903225806,0.0,51.61290322580645,22.58064516129032,6.451612903225806,9.67741935483871
IND,0.20728746603329098,0.10236222779697171,0.015616097157876737,0.12197630755912067,0.40826576328127767,0.07908855972852072,0.06540357190280464,32.608695652173914,4.3478260869565215,0.0,8.695652173913043,47.82608695652174,2.1739130434782608,4.3478260869565215
IRL,0.11077172513857174,0.25919818587135524,0.01480602243100293,0.4000656697899103,0.11370094637580526,0.06475979493310054,0.0366976622317452,0.0,50.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0
IRN,0.04433471128756467,0.03159730480267452,0.005628866156957184,0.24133003435025996,0.6332468699950439,0.040214221351421796,0.003648018576383877,0.0,0.0,0.0,30.76923076923077,69.23076923076923,0.0,0.0
IRQ,0.12774433319767317,0.05690781482391887,0.09507654387400383,0.12665564275812358,0.2441718210466206,0.1812391549659272,0.1682046532061779,0.0,0.0,0.0,11.11111111111111,44.44444444444444,11.11111111111111,33.33333333333333
ISL,0.028469505719840527,0.3920945536810905,0.14360874518752098,0.0014360995846800506,0.009083875920623541,0.21391834784299135,0.21138880401849747,0.0,50.0,0.0,0.0,0.0,50.0,0.0
ISR,0.2238788301967563,0.08702377933311961,0.012756554939187481,0.25564688805510133,0.26345290326086496,0.09817590921334664,0.059065136598292156,27.77777777777778,4.166666666666666,0.0,29.166666666666668,26.38888888888889,6.944444444444445,5.555555555555555
ITA,0.06525454005679569,0.15070072145239022,0.044843285227732455,0.2881246812742304,0.2505930564932626,0.11188324996446436,0.0886004632291686,8.108108108108109,10.81081081081081,2.7027027027027026,32.432432432432435,24.324324324324326,8.108108108108109,13.513513513513514
JAM,0.0008062234264798462,0.005222597159445286,0.0019283073488622904,0.9498334527015686,0.027269961312413216,0.0008927952731028199,0.014046600088477135,0.0,0.0,0.0,100.0,0.0,0.0,0.0
JOR,0.15188975998898968,0.06334363686619326,0.0045414354535751045,0.2619938949937932,0.42209515115246177,0.08538208511163248,0.010754065893706866,25.0,0.0,0.0,25.0,50.0,0.0,0.0
JPN,0.10151439758468889,0.10048450997738122,0.01174650677072831,0.11416339854159477,0.3434655799411145,0.10750633872774129,0.22111926685195138,12.396694214876034,7.43801652892562,0.0,14.87603305785124,36.36363636363637,9.090909090909092,19.834710743801654
KAZ,0.06674867268631478,0.04438541481099294,0.0037687036380267946,0.47394480299123604,0.314401965274516,0.0343563532382098,0.06239406857513013,8.695652173913043,0.0,0.0,47.82608695652174,34.78260869565217,4.3478260869565215,4.3478260869565215
KEN,0.15066300227911034,0.18492728447364198,0.026898409156793996,0.34750395152063684,0.10700233266245396,0.08445875096922031,0.09854626320330204,9.523809523809524,28.57142857142857,0.0,33.33333333333333,9.523809523809524,9.523809523809524,9.523809523809524
KGZ,0.01601502414268907,0.05933138901309576,0.003052191015740391,0.49729708721861243,0.3085717400535941,0.019386497762752697,0.09634606027248083,0.0,0.0,0.0,62.5,25.0,0.0,12.5
KHM,0.04901845760607449,0.09450794998736542,0.009010753966105681,0.4395562747460125,0.23285145480518363,0.07014876972728719,0.10490635085235615,2.380952380952381,9.523809523809524,0.0,47.61904761904761,23.809523809523807,7.142857142857142,9.523809523809524
KIR,0.020541440695524216,0.01582601643167436,0.0056395630817860365,0.7267929762601852,0.18974029854871333,0.020669516641646624,0.020790161564946175,0.0,0.0,0.0,100.0,0.0,0.0,0.0
